Site name,Address,Postcode,longitude,latitude,certain or not,coordinate system,error,,,
Lansbury Pharmacy,85 Chrisp Street,E14 6GG,-0.014673,51.51408,ROOFTOP,wgs84,,,,
Larkhill Centre c/o Timperley Pharmacy,"Larkhill Centre, Thorley Lane, Timperley",WA15 7AZ,-2.3186438,53.3961995,GEOMETRIC_CENTER,wgs84,,,,
Lawsat (Cliffe Woods Community Centre),"7 Parkside, Cliffe Wood, Rochester, Kent ",ME3 8HX,0.4968486,51.4335842,ROOFTOP,wgs84,,,,
Laycocks Pharmacy,"494-498 Old London Road, Hastings, East Sussex",TN35 5BL,0.6092039,50.8733372,ROOFTOP,wgs84,,,,
Lewis Grove Pharmacy,1 Lewis Grove,SE13 6BG,-0.0091597,51.4621577,ROOFTOP,wgs84,,,,
Lewis Pharmacy,"70 - 72 Exeter Road, Exmouth, Devon",EX8 1PY,-3.410852,50.622719,ROOFTOP,wgs84,,,,
Lewisham Pharmacy,"324 Lee High Road, London",SE13 5PJ,0.0054664,51.4586127,ROOFTOP,wgs84,,,,
Leyton Orient Pharmacy,"2nd Floor, Oliver Road Polyclinic, 75 Oliver Road, Leyton, London",E10 7LG,-0.0133086,51.5599594,ROOFTOP,wgs84,,,,
Lincoln Co-Op Pharmacy - Newland,"Newland Health Centre, Lincoln",LN1 1XP,-0.544778,53.2299911,ROOFTOP,wgs84,,,,
Lincoln Pharmacy,"124 St Pauls Way, Tower Hamlets, London",E3 4QA,-0.0246147,51.5181673,ROOFTOP,wgs84,,,,
Lloydspharmacy - Tickhill,"3 Market Place, Tickhill, Doncaster",DN11 9HT,-1.1096831,53.4331196,ROOFTOP,wgs84,,,,
Lloydspharmacy Brockwell Centre,"9 Brockwell Centre, Northumbrian Road, Cramlington, Tyne and Wear",NE23 1XZ,-1.5839799,55.095783,ROOFTOP,wgs84,,,,
Lloydspharmacy Carterton,"7 Burford Road, Carterton, Oxon",OX18 3AG,-1.5950936,51.7596611,ROOFTOP,wgs84,,,,
Locking Pharmacy,"The Radio Wing, McCrae Road, Locking Parklands, Weston Super Mare",BS24 7LZ,-2.9072289,51.3354458,GEOMETRIC_CENTER,wgs84,,,,
Long Melford Pharmacy,"Richmond House, Hall Street, Long Melford",CO10 9JL,0.7168853,52.0767968,GEOMETRIC_CENTER,wgs84,,,,
Longwell Green Community Centre c/o Ellacombe Pharmacy,"Shellards Road, Longwell Green, Bristol",BS30 9DU,-2.4916039,51.438997,GEOMETRIC_CENTER,wgs84,,,,
M W Phillips Chemists,"121A Shady Lane, Great Barr, Birmingham",B44 9ET,-1.8970214,52.5516787,ROOFTOP,wgs84,,,,
M&M Escomb Road,"29A Escomb Road, Bishop Auckland, County Durham",DL14 6AB,-1.6802816,54.6565153,ROOFTOP,wgs84,,,,
Mangal Pharmacy Covid-19 Vaccination Centre Eltham,"136A Well Hall Road, Eltham, London",SE9 6SN,0.0512407,51.4557165,ROOFTOP,wgs84,,,,
Mango Pharmacy,"98 High Street, Edgware, Middlesex",HA8 7HF,-0.2797758,51.6115077,ROOFTOP,wgs84,,,,
Marlow Pharmacy Vaccination Centre,"Globe Park, Lunar House, Globe Business Park, Fieldhouse Lane, Marlow, Buckinghamshire",SL7 1LW,-0.7598556,51.5729652,ROOFTOP,wgs84,,,,
Marton Road Pharmacy,"151 Marton Road, Bridlington",YO16 7DJ,-0.1909836,54.0986662,ROOFTOP,wgs84,,,,
Mary Davey Chemists Limited,"69 Randall Drive, Bootle, Liverpool",L30 2PB,-2.9942737,53.4839046,ROOFTOP,wgs84,,,,
Masons Chemists,"97 Belvoir Road, Coalville",LE67 3PH,-1.3735711,52.7221597,ROOFTOP,wgs84,,,,
Masters Pharmacy,"182-184 Vicarage Road, Oldbury, Warley, West Midlands",B68 8JB,-2.0001812,52.494282,ROOFTOP,wgs84,,,,
Mayday Community Pharmacy,"508 London Road, Thornton Heath, Surrey",CR7 7HQ,-0.1111841,51.3880319,ROOFTOP,wgs84,,,,
Mayors Pharmacy,"113-115 Snakes Lane, Woodford Green, Essex",IG8 0DY,0.0326252,51.6071533,ROOFTOP,wgs84,,,,
Med Mart,"Unit 37, 4 Imperial Place, Maxwell Road, Borehamwood",WD6 1JN,-0.2675029,51.6574853,ROOFTOP,wgs84,,,,
Medica Pharmacy,"202 Southwark Park Road, Bermondsey, London",SE16 3RW,-0.0646508,51.4920799,ROOFTOP,wgs84,,,,
Memon Centre c/o Pearl Chemist,"7 Abbotsford Road, Leicester",LE5 4DA,-1.0876952,52.6413066,ROOFTOP,wgs84,,,,
Memorial Hall Ludgershall,"The Memorial Hall, Andover Road, Ludgershall, Andover",SP11 9LZ,-1.6198655,51.2550328,GEOMETRIC_CENTER,wgs84,,,,
Michael Franklin Chemists,"51 - 55 St James Street, Walthamstow, London",E17 7PJ,-0.0325891,51.5801743,ROOFTOP,wgs84,,,,
Midhurst Pharmacy,"Midhurst Memorial Hall, North Street, Midhurst, West Sussex",GU29 9DH,-0.7730438,50.9940149,GEOMETRIC_CENTER,wgs84,,,,
Mill Pharmacy,"Mill Pharmacy, Market Place, Hadleigh",IP7 5DN,0.9523099,52.0428887,GEOMETRIC_CENTER,wgs84,,,,
Millers Pharmacy (Longton),"Dresden Scout Hut, Wise Street, Dresden, Stoke-on-Trent",ST3 4PQ,-2.1324229,52.9786989,GEOMETRIC_CENTER,wgs84,,,,
Milton Methodist Church (Leigh Memorial),"Leek Road, Milton Pharmacy, Stoke-on-Trent",ST2 7AF,-2.144625,53.034444,ROOFTOP,wgs84,,,,
MMC College C/O Wellfield Pharmacy,"MMC College Formerly Greater Manchester Probation Service Office, 20 Humphrey Street, Manchester",M8 9JR,-2.2442947,53.5113648,ROOFTOP,wgs84,,,,
Monarch Pharmacy,"318-320 Radford Road, Coventry",CV6 3AA,-1.5227089,52.4238862,ROOFTOP,wgs84,,,,
Monkseaton Methodist Church (Lobley Hill Pharmacy),"37 Front Street, Whitley Bay",NE25 8AQ,-1.4633889,55.0408625,ROOFTOP,wgs84,,,,
Morecambe Cricket Club (West End Pharmacy),"Morecambe Cricket Club, Woodhill Lane",LA4 4NL,-2.8674636,54.0647559,GEOMETRIC_CENTER,wgs84,,,,
Mr Pickford's Pharmacy,"46B Lacey Court, Shepshed, Leicestershire",LE12 9QY,-1.2920459,52.7698212,ROOFTOP,wgs84,,,,
Nechells Pharmacy (El Abbas Mosque),"Community Centre, 17 Clifton Road, Birmingham",B12 8SX,-1.8851041,52.4562207,ROOFTOP,wgs84,,,,
New Cross Pharmacy,"Waldron Health Centre, Amersham Vale, London",SE14 6LD,-0.0318975,51.4767325,GEOMETRIC_CENTER,wgs84,,,,
New Romney Old School (New Romney Pharmacy),"Church Lane, New Romney, Kent",TN28 8ER,0.9436973,50.9830348,GEOMETRIC_CENTER,wgs84,,,,
Newmarket Racecourse (Pharmacy2U),"Foremans Office, Rowley Mile Racecourse, Cambridge Road, Newmarket",CB8 0TF,0.3747463,52.238014,ROOFTOP,wgs84,,,,
Nishkam COVID-19 Vaccination Centre (Nishkam Pharmacy),"20 Great King Street North, Hockley, Birmingham",B19 2LF,-1.9070302,52.4956924,ROOFTOP,wgs84,,,,
Northampton & District Indoor Bowling Association (Touchwood Pharmacy),"The Recreation Ground, 102 Harborough Road, Northampton",NN2 8DH,-0.9012032,52.265726,ROOFTOP,wgs84,,,,
Norton Canes Dental Practice (Nucare Pharmacy),"Norton Canes, Cannock ",WS11 9RE,-1.979539,52.669549,APPROXIMATE,wgs84,,,,
O'Briens Chemists,"Fleetwood Health and Wellbeing Centre, Dock Road, Fleetwood",FY7 6HP,-3.0102163,53.9211226,GEOMETRIC_CENTER,wgs84,,,,
Odeon - Cantebury (Pharmacy2U),"43/45 St George's Place, Canterbury",CT1 1UP,1.0841915,51.2765374,ROOFTOP,wgs84,,,,
Odeon Cinema - Nuneaton (Pharmacy 2U),"Bermuda Park St, David's Way, Nuneaton",CV10 7SD,-1.4776586,52.4962354,ROOFTOP,wgs84,,,,
Odeon Cinema c/o Pharmacy2U - Aylesbury,"Odeon Cinema, Exchange Street, Aylesbury",HP20 1UR,-0.8098974,51.8152357,ROOFTOP,wgs84,,,,
Odeon Maidstone (Pharmacy2U),"Odeon, Lockmeadow, Barker Road, Maidstone, Kent",ME16 8LW,0.518457,51.2695274,GEOMETRIC_CENTER,wgs84,,,,
Old Lidl Site,"York Road, Knaresborough, North Yorkshire",HG5 0SP,-1.4474017,54.00566,GEOMETRIC_CENTER,wgs84,,,,
"Old Top Shop Retail Unit, Dunmail Park Centre (Pharmacy2U)","Dunmail Park Shopping Centre, Maryport Rd, Workington",CA14 1NQ,-3.5527289,54.6564242,GEOMETRIC_CENTER,wgs84,,,,
Orchard 2000 Pharmacy,"480 Hall Road, Hull",HU6 9BS,-0.3732591,53.7872448,ROOFTOP,wgs84,,,,
Our Lady Star of the Sea (St Annes Pharmacy),"Our Lady Star of the Sea Social Club, 63 St Albans Road",FY8 1XD,-3.0236942,53.7541632,ROOFTOP,wgs84,,,,
Oxlow Pharmacy,"217 Oxlow Lane, Dagenham, Essex",RM10 7YA,0.1535926,51.5515528,ROOFTOP,wgs84,,,,
Packmoor Pharmacy,"St James Church, Station Road, Newchapel, Stoke-on-Trent",ST7 4QT,-2.2070912,53.0874535,GEOMETRIC_CENTER,wgs84,,,,
Parkview Pharmacy,"195 Bramley Road, Oakwood, London",N14 4XA,-0.1291244,51.6492961,RANGE_INTERPOLATED,wgs84,,,,
Peak Pharmacy - Clay Cross,"7 - 9 Market Street, Clay Cross, Chesterfield, Derbyshire",S45 9JE,-1.4151385,53.1666077,ROOFTOP,wgs84,,,,
Pearl Chemist,"St Boniface Church Function Suite, 185 Mitcham Road, London",SW17 9PG,-0.1616937,51.4240112,ROOFTOP,wgs84,,,,
Periville Pharmacy,"9 Wingate Parade, Grimsby",DN37 9DR,-0.1254141,53.5707667,ROOFTOP,wgs84,,,,
Pharmacy Warehouse,"Unit 3, 2 Somerset Road, London",N17 9EJ,-0.0694088,51.5897755,ROOFTOP,wgs84,,,,
Pharmacy Xpress,"Wellington Road Community Centre, 27 Wellington Road, Dudley",DY1 1RB,-2.095624,52.507998,ROOFTOP,wgs84,,,,
Pharmacy2U - Aintree Racecourse,"Aintree Racecourse, Ormskirk Rd, Aintree, Liverpool",L9 5AS,-2.9541696,53.4734766,GEOMETRIC_CENTER,wgs84,,,,
Pharmacy2U - Morrisons Wakefield,"230-232 Dewsbury Road, Wakefield",WF2 9BY,-1.5241422,53.6791193,ROOFTOP,wgs84,,,,
Pharmacy2U - Morrisons Winsford,"Morrison's Supermarket, Nat Lane, Winsford",CW7 3GZ,-2.5143903,53.1968123,GEOMETRIC_CENTER,wgs84,,,,
Pharmacy2U - Morrisons Yeovil,"7 Lysander Road, Yeovil, Somerset",BA20 2AU,-2.648551,50.9352756,ROOFTOP,wgs84,,,,
Pharmacy2U - Village Hotel - Warrington,"Pharmacy2U - Village Hotel, 110 Centre Park Square, Warrington, Cheshire",WA1 1QA,-2.595052,53.382975,ROOFTOP,wgs84,,,,
Pharmacy2U - Village Hotel South Leeds,"Village Hotel, Capitol Boulevard West, Morley, Leeds",LS27 0TS,-1.5858833,53.7331389,GEOMETRIC_CENTER,wgs84,,,,
"Pharmacy2U - Village Hotel, Leeds North","Village Hotel  (Leeds North), 186 Otley Road, Headingley, Leeds",LS16 5PR,-1.589756,53.834195,ROOFTOP,wgs84,,,,
Pharmacy2U - Whiston,"Village Hotel, Fallows Way, Whiston",L35 1RZ,-2.8096435,53.4019866,GEOMETRIC_CENTER,wgs84,,,,
Pinxton Parish Council & Village Hall (Pinxton Pharmacy),"Pinxton Parish Council & Village Hall, 3 Kirkstead Rd, Pinxton, Derbyshire",NG16 6NA,-1.3185952,53.0924157,ROOFTOP,wgs84,,,,
Pontefract Squash Courts (Pharmacy2U),"Pontefract Squash Club, Stuart Road, Pontefract",WF8 4PQ,-1.314439,53.6938953,GEOMETRIC_CENTER,wgs84,,,,
Poolearth Vaccination Clinic (Devonport Pharmacy),"Plymouth Albion, Brickfields Recreation Ground, 25 Damerel Close, Devonport, Plymouth",PL1 4NE,-4.1710656,50.3708437,ROOFTOP,wgs84,,,,
Prayerhouse Chickerell (Day Lewis Pharmacy),"East Street, Chickerell, Weymouth",DT3 4DT,-2.5024125,50.6244279,GEOMETRIC_CENTER,wgs84,,,,
Preston Grasshoppers Rugby Club (Broadway Pharmacy - Preston),"Preston Grasshoppers Rugby Club, Lightfoot Green Lane, Preston",PR4 0AP,-2.7326555,53.7963973,GEOMETRIC_CENTER,wgs84,,,,
Pulse Pharmacy,"310 Clapham Road, London",SW9 9AE,-0.1245968,51.4707378,ROOFTOP,wgs84,,,,
Pure Gym - Nuneaton (Hillfields Pharmacy),"26 Ropewalk Shopping Centre, Chapel St, Nuneaton",CV11 5TZ,-1.4694945,52.5218821,GEOMETRIC_CENTER,wgs84,,,,
Pyramid Pharmacy - Beaconsfield,"5 The Highway, Beaconsfield, Buckinghamshire",HP9 1QD,-0.6442409,51.602396,APPROXIMATE,wgs84,,,,
Pyramid Pharmacy / Enfield Covid Vaccination Defense Centre,"226-228 Hertford Road, Enfield Highway, Enfield, London",EN3 5BH,-0.0475538,51.6580492,RANGE_INTERPOLATED,wgs84,,,,
Queens Pharmacy,"107 Rosendale Road, Dulwich, London",SE21 8EZ,-0.0949416,51.4373285,ROOFTOP,wgs84,ZERO_RESULTS: undefined,,,
Ramgarhia Board Northampton (Nha Pharmacy),"Ramgarhia Sikh Temple, Cromwell Street, Northampton",NN1 2TE,,,,,,,,
Redruth Rugby Football Club (Day Lewis Pharmacy),"The Recreation Ground, Redruth",TR15 1SY,-5.2298664,50.2381444,ROOFTOP,wgs84,,,,
Reeds Pharmacy,"The Globe, Frances Street, Truro",TR1 3DP,-5.0561517,50.2637396,GEOMETRIC_CENTER,wgs84,,,,
Regent Pharmacy,"10-11 Regent Square, Northampton",NN1 2NQ,-0.898157,52.2419567,RANGE_INTERPOLATED,wgs84,,,,
Retrolink Ltd (w Cheeseman & Son),"Rufus Centre, Steppingley Road, Flitwick, Bedfordshire",MK45 1AH,-0.5107436,52.0102164,GEOMETRIC_CENTER,wgs84,,,,
Rimmington Pharmacy,"9 Bridge Street, City Park, Bradford",BD1 1RX,-1.7532858,53.793456,ROOFTOP,wgs84,,,,
Riverside COVID-19 Vaccination Centre (Riverside Pharmacy),"Bulwell Riverside Centre, Main Street, Bulwell, Nottingham",NG6 8QJ,-1.1969407,52.9984933,GEOMETRIC_CENTER,wgs84,,,,
Roche Pharmacy,"8 Fore Street, Roche, St Austell",PL26 8EP,-4.8334987,50.4060881,ROOFTOP,wgs84,,,,
Rolls Royce Leisure Hucknall (Nabbs Lane Pharmacy),"Rolls Royce Leisure, Watnall Road, Hucknall, Nottingham",NG15 6EP,-1.2213223,53.0210026,GEOMETRIC_CENTER,wgs84,,,,
Royal Arthur Community Centre (Marisco Pharmacy) (Warwick Healthcare Limited),"Royal Arthur Community Centre, Skegness Road, Ingoldmells, Lincolnshire",PE25 1NL,0.3353973,53.1929206,GEOMETRIC_CENTER,wgs84,,,,
Saltburn Pharmacy,"6 Station Street, Saltburn",TS12 1AE,-0.9740861,54.5829979,ROOFTOP,wgs84,,,,
Sandbern Pharmacy,"703-705 Green Lane, Dagenham",RM8 1UU,0.1234504,51.5622483,ROOFTOP,wgs84,,,,
Sea Cadets COVID-19 Vaccination Centre (Locking Pharmacy),"Sunnyside Road North, Weston-Super-Mare",BS23 3PZ,-2.9721441,51.3421274,GEOMETRIC_CENTER,wgs84,,,,
Seacliffe Pharmacy,"High Road, Kells, Whitehaven",CA28 9PG,-3.5971019,54.5362684,ROOFTOP,wgs84,,,,
Seascale Pharmacy,"Gosforth Road, Seascale",CA20 1PR,-3.4761203,54.3996096,GEOMETRIC_CENTER,wgs84,,,,
Seven Oaks Pharmacy,"42 Dartford Road, Sevenoaks, Kent",TN13 3TQ,0.1944868,51.2812066,ROOFTOP,wgs84,,,,
Severn Pharmacy,"40-44 Severn Road, Oadby, Leicester",LE2 4FY,-1.0625857,52.5996963,ROOFTOP,wgs84,,,,
Shah Pharmacy,"382 Bath Road, Hounslow, London",TW4 7HT,-0.3895189,51.4738012,RANGE_INTERPOLATED,wgs84,,,,
Sharman Chemist,"3-4 Clive Parade, Northwood",HA6 2QF,-0.4253708,51.6115022,ROOFTOP,wgs84,,,,
Shaunaks Pharmacy Westbury,"White Horse Health Centre, Mane Way, Westbury",BA13 3FQ,-2.2032576,51.2528042,GEOMETRIC_CENTER,wgs84,,,,
Silverfields Chemist,"141 Homerton High Street, Homerton",E9 6AS,-0.0410986,51.5488253,ROOFTOP,wgs84,,,,
Somerset Gardens Pharmacy,"4 Creighton Rd, Tottenham, London",N17 8NW,-0.0735838,51.6054121,ROOFTOP,wgs84,,,,
Speedwell Pharmacy,"161 London Road, Apsley, Hemel Hempstead",HP3 9SQ,-0.469887,51.73758,ROOFTOP,wgs84,,,,
Spencer Court (Mr Pickford's),"3 Spencer Court, Corby, Northamptonshire",NN17 1NJ,-0.7002365,52.4863199,ROOFTOP,wgs84,,,,
SpringPharm,"Unit 13 Mercian Business Park, Felspar Road, Tamworth, Staffordshire",B77 4DP,-1.6534044,52.6248579,ROOFTOP,wgs84,,,,
St Aidan’s Church Hall,"Chipstead Valley Road, Coulsdon",CR5 3BB,-0.1507997,51.3187688,GEOMETRIC_CENTER,wgs84,,,,
St Anne's Centre (Wolsingham Pharmacy),"St Annes Centre, 17 West End, Wolsingham, Co Durham",DL13 3AT,-1.8894131,54.7297496,ROOFTOP,wgs84,,,,
St Christopher's Church (Wallis Jones Pharmacy),"Claygate Lane, Hinchley Wood, Esher",KT10 0AQ,-0.3306527,51.3773789,GEOMETRIC_CENTER,wgs84,,,,
"St Francis Parish Centre, (Priory Community Pharmacy)","St Francis Parish Centre, Poplar Crescent, Dudley",DY1 4AF,-2.0906242,52.5173581,GEOMETRIC_CENTER,wgs84,,,,
St John's Church - Mattock Lane Pharmacy,"Mattock Lane, Ealing, London",W13 9LA,-0.3123747,51.5106843,GEOMETRIC_CENTER,wgs84,,,,
St Johns Methodist Church (Allestree Pharmacy),"St John's Methodist Church, Birchover Way, Allestree, Derby",DE22 2QL,-1.4944067,52.9447237,GEOMETRIC_CENTER,wgs84,,,,
St Mary's Church Hall c/o Remedy Pharmacy,"62 Greenford Avenue, Hanwell, London",W7 3HF,-0.3377268,51.5145639,ROOFTOP,wgs84,,,,
St Peters Church (Boyatt Pharmacy),"St Peters Church Hall, Shakespeare Road, Eastleigh, Hampshire",SO50 4FZ,-1.3612026,50.9780818,GEOMETRIC_CENTER,wgs84,,,,
Stockley Park Golf Club Limited,"The Clubhouse, Stockley Park, Uxbridge",UB11 1AQ,-0.4440025,51.5132752,ROOFTOP,wgs84,,,,
Superdrug - Bristol Broadmead,"39-43 Broadmead, Bristol",BS1 3EU,-2.5882779,51.4577341,ROOFTOP,wgs84,,,,
Superdrug - Leeds,"31-35 The Merrion Centre, Leeds",LS2 8NG,-1.5442406,53.8014344,GEOMETRIC_CENTER,wgs84,,,,
Superdrug - Piccadilly,"7-9 Piccadilly, Manchester",M1 1LZ,-2.2375603,53.481942,ROOFTOP,wgs84,,,,
Superdrug - Rotherham,"12 Howard Street, Cascade Centre, Rotherham, South Yorkshire",S60 1QN,-1.3559623,53.4324114,ROOFTOP,wgs84,,,,
Superdrug - Sittingbourne,"78-80 High Street, Sittingbourne",ME10 4AJ,0.7358463,51.3403282,ROOFTOP,wgs84,,,,
Superdrug Cambridge (Sidney Street),"59 Sidney Street, Cambridge",CB2 3HX,-71.1017505,42.3615666,RANGE_INTERPOLATED,wgs84,,,,
Superdrug Pharmacy Banbury,"Units 34 & 35 Castle Quay, Banbury",OX16 5UN,-1.3380933,52.0636281,ROOFTOP,wgs84,ZERO_RESULTS: undefined,,,
Superdrug Pharmacy Basingstoke,"10-12 Hampstead House, Town Centre, Basingstoke, Hampshire",RG21 7LG,,,,,,,,
Superdrug Pharmacy Guildford,"97-101 High Street, Guildford, Surrey",GU1 3DP,-0.5736355,51.235626,RANGE_INTERPOLATED,wgs84,,,,
Sutton Manor Pharmacy,"St Ives Close, Wawne Road, Hull",HU7 4PT,-0.3141025,53.7859433,GEOMETRIC_CENTER,wgs84,,,,
T Kingston Pharmacy,"Hillside, Windermere Drive, Skelton",TS12 2TG,-0.9807675,54.5631228,ROOFTOP,wgs84,,,,
Telford Football Club (Wellington Pharmacy),"Watling Street, Wellington, Telford, Shropshire",TF1 2TU,-2.5032362,52.696247,GEOMETRIC_CENTER,wgs84,,,,
Temple Pharmacy,"110 Pitshanger Lane, London",W5 1QP,-0.3131015,51.5263893,ROOFTOP,wgs84,,,,
Tesco Ashford Middlesex,"Tesco Stores Ltd, Town Lane, Stanwell, Staines",TW19 7PZ,-0.4731238,51.445285,GEOMETRIC_CENTER,wgs84,,,,
Tesco Bradford Brighouse,"Tesco Stores Ltd, Huddersfield Road, Brighouse",HD6 1RZ,-1.7762232,53.7037186,GEOMETRIC_CENTER,wgs84,,,,
Tesco Sidcup,"Edgington Way, Sidcup",DA14 5BN,0.1199763,51.4136222,GEOMETRIC_CENTER,wgs84,,,,
The Grove Pharmacy,"Christchurch Hospital, Fairmile Road, Christchurch, Dorset",BH23 2FQ,-1.7900943,50.7450469,GEOMETRIC_CENTER,wgs84,,,,
The Open University (Rainbow Pharmacy),"Michael Young Building, Walton Drive, Kents Hill, Milton Keynes",MK7 6BB,-0.7081421,52.0225222,ROOFTOP,wgs84,,,,
The Spring Lamb (Caxton Pharmacy),"The Spring Lamb, 9 Shrosbury Road, Oswestry, Shropshire",SY11 4QA,-3.0380641,52.8509906,ROOFTOP,wgs84,,,,
The Towers c/o Orchard Pharmacy,"Botany Avenue, Mansfield",NG18 5NG,-1.2120749,53.1425392,GEOMETRIC_CENTER,wgs84,,,,
Thomas Bell Pharmacy,"Lake Road, Ambleside",LA22 0AD,-2.9615861,54.4254221,GEOMETRIC_CENTER,wgs84,,,,
Ticehurst Village Hall,"Lower High Street, Ticehurst, East Sussex",TN5 7BB,0.3504776,51.0528707,GEOMETRIC_CENTER,wgs84,,,,
Triangle Pharmacy,"88-90 School Road, Tilehurst, Berkshire",RG31 5AW,-1.0407164,51.4583878,ROOFTOP,wgs84,,,,
Turreff Hall (Donnington Pharmacy),"Turreff Hall, Turreff Avenue, Donnington, Telford",TF2 8HG,-2.4377404,52.7165347,GEOMETRIC_CENTER,wgs84,,,,
Uttoxeter Heath Community Centre (Wellfield Pharmacy),"Uttoxeter Heath Community Centre, Holly Road, Uttoxeter, Derby",ST14 7DP,-1.8773334,52.9038777,GEOMETRIC_CENTER,wgs84,,,,
Vantage Pharmacy,"108-114 Conisborough Crescent, Catford",SE6 2SP,-0.0126324,51.4297886,ROOFTOP,wgs84,,,,
Victoria Pharmacy,"19 Desborough Avenue, High Wycombe, Buckinghamshire",HP11 2RS,-0.761661,51.6329149,ROOFTOP,wgs84,,,,
Village Hotel - Nottingham (Pharmacy2U),"Village Hotel, Brailsford Way, Beeston, Nottingham",NG9 6DL,-1.2411871,52.9031555,GEOMETRIC_CENTER,wgs84,,,,
Village Pharmacy - Stubbington,"3-4 Stubbington Green, Stubbington, Fareham, Hampshire",PO14 2JQ,-1.2145321,50.82534,ROOFTOP,wgs84,ZERO_RESULTS: undefined,,,
Vitaltone Pharmacy,"14 The Square, Caterham",CR3 6QA,,,,,,,,
Wallisdown Pharmacy,"337 Wallisdown Road, Poole, Dorset",BH12 5BU,-1.9114002,50.7464798,ROOFTOP,wgs84,,,,
Walton Pharmacy,"277 High Street, Walton, Felixstowe",IP11 9DU,1.3383651,51.9723227,ROOFTOP,wgs84,,,,
Walton Pharmacy - Surrey,"12 Walton Street, Walton-on-the-Hill, Surrey",KT20 7RT,-0.2433439,51.2834768,ROOFTOP,wgs84,,,,
Warren Pharmacy,"24 High Street, Bexley",DA5 1AD,0.1043145,51.4254178,RANGE_INTERPOLATED,wgs84,,,,
Well Barwell - High Street,"50-54 High Street, Barwell, Leicester",LE9 8DS,-1.3471906,52.5667213,RANGE_INTERPOLATED,wgs84,,,,
Wellway Pharmacy,"The Surgery, Wellway, Morpeth",NE61 1BJ,-1.6891231,55.169842,GEOMETRIC_CENTER,wgs84,,,,
Westbury Chemist,"84-92 Streatham High Road, Streatham, London",SW16 1BS,-0.1284685,51.4352279,ROOFTOP,wgs84,,,,
Whalley Range Tennis And Cricket Club / (Wilbraham Pharmacy),"Whalley Range Tennis and Cricket Club, Kingsbrook Road, Manchester",M16 8NR,-2.254487,53.4414239,GEOMETRIC_CENTER,wgs84,,,,
Wicker Pharmacy,"55-67 Wicker, Sheffield",S3 8HT,-1.4627002,53.3873418,ROOFTOP,wgs84,,,,
Wing Hall (Jardines Pharmacy),"Wing Hall, 71 Leighton Road, Wing, Buckinghamshire",LU7 0NN,-0.715491,51.89713,ROOFTOP,wgs84,,,,
Woodgrange Pharmacy,"116 Woodgrange Road, Forest Gate, London",E7 0EW,0.0260342,51.5514634,ROOFTOP,wgs84,,,,
Woodside Pharmacy,"Oak Hall, Park Lane Centre, Park Lane, Telford",TF7 5QZ,-2.4672494,52.6380142,GEOMETRIC_CENTER,wgs84,,,,
Woolwich Late Night Pharmacy,"Equitable House, 10 Woolwich New Road, London",SE18 6AB,0.0687729,51.4903154,ROOFTOP,wgs84,,,,
